StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q15_1,Q27_1,Q36_1,Q28_1,Q28_2,Q28_3,Q28_4,Q28_5,Q28_6,Q28_7,Q32_1,Q32_2,Q32_3,Q32_4,Q32_5,Q32_6,Q32_6_TEXT,Q33,Q34,Q31,Q30,Q16,Q24,Q24_11_TEXT,Q25
2026-06-22 10:57:37,2026-06-22 11:00:47,IP Address,*******,100,190,True,2026-06-22 11:00:47,R_6jTANCywcLmx1bm,*******,*******,*******,*******,*******,*******,anonymous,EN,Excellent,A lot,Well,Extremely Valuable,Extremely Valuable,Extremely Valuable,Extremely Valuable,Extremely Valuable,Extremely Valuable,Extremely Valuable,Somewhat likely,Very Likely,Somewhat likely,Very Likely,Somewhat likely,Neutral,,"Not yet, but I intend to follow up with someone",,"Connecting with researchers across the region, thinking about what the unique needs and strengths of our region are",It was just great to be around people who are excited about the same things that I am!,Nothing... I really thought it was very well done.,"Slack workspace for updates and communication,Annual regional symposium,Shared repository of instruments, protocols, and resources,Cross-institutional reading or writing group (monthly, virtual),Virtual seminar series (e.g., works-in-progress presentations)",,Just learning more - I'm a novice
2026-06-22 12:29:56,2026-06-22 12:50:45,IP Address,*******,100,1248,True,2026-06-22 12:50:46,R_1pQqDLnipCbiah3,*******,*******,*******,*******,*******,*******,anonymous,EN,Good,Some,Well,Very Valuable,Very Valuable,Very Valuable,Very Valuable,Valuable,Somewhat Valuable,Extremely Valuable,Somewhat likely,Very Likely,Somewhat likely,Very Likely,Very unlikely,Neutral,,"Yes, loosely (interest expressed, but nothing concrete yet)",I am planning on reaching out to engineering education folks at my institution for journal clubs and writing solidarity groups. I am in biology education research and we are located at different campuses so I did not know they were at our campus. ,Networking sessions. ,"I think meeting other people in the field (different discipline) from my institution was a valuable takeaway because I was able to form connections with others in the field and plan journal clubs and writing groups. As the only DBER researcher on my campus, it was special to find others at my institution and be able to create a community. 
 I also found meeting and chatting with folks in other disciplines at different institutions very valuable as well. I was able to chat about my projects and challenges that I've faced as a researcher and educator. Although folks weren't in my specific discipline, the feedback was extremely helpful. ","I felt like some of the workshops seemed to get repetitive towards the end, but that allowed for our group to network and learn about everyone's work. I am grateful that I was able to join as a graduate student, but some of the challenges felt out of my control (not having physical space for DBER researchers to get together in person like CASTLE at RIT). ","Slack workspace for updates and communication,Annual regional symposium,Shared repository of instruments, protocols, and resources,Cross-institutional reading or writing group (monthly, virtual),Shared graduate student training or mentoring program,Writing retreats (in-person or virtual)",,I am going to invite the researchers in engineering education at my institution to our already-scheduled writing retreat! 
2026-06-23 08:51:29,2026-06-23 08:54:11,IP Address,*******,100,161,True,2026-06-23 08:54:11,R_60tNNdO9ben7pim,*******,*******,*******,*******,*******,*******,anonymous,EN,Excellent,Completely,Excellently,Somewhat Valuable,Extremely Valuable,Valuable,Very Valuable,Very Valuable,Very Valuable,Extremely Valuable,Somewhat likely,Somewhat unlikely,Neutral,Very Likely,Somewhat likely,Neutral,,"Not yet, but I intend to follow up with someone",Tentative future grant proposals with the folks at Ithaca College and Monroe Community College related to integration of math and physics.,Networking and connecting with the local community.,Conversations with folks at IC.,"A few more breaks or informal, unstructured time.","Slack workspace for updates and communication,Annual regional symposium,Shared graduate student training or mentoring program,Other:",Scholar-in-residence opportunities for grad students to visit other institutions,Convince RIT to host next year
2026-06-23 09:03:40,2026-06-23 09:57:41,IP Address,*******,100,3240,True,2026-06-23 09:57:42,R_7PAQYspjFgoa0Ew,*******,*******,*******,*******,*******,*******,anonymous,EN,Excellent,A lot,Well,Very Valuable,Very Valuable,Valuable,Valuable,Very Valuable,Very Valuable,Very Valuable,Very Likely,Somewhat likely,Neutral,Somewhat likely,Neutral,Neutral,,"Yes, loosely (interest expressed, but nothing concrete yet)","I got to meet Jutshi Agarwal who is also interested in the field of graduate student professional development, though she is in the engineering field (I am in physics). There's still a lot of crossover there, and opportunities to learn from each other. Jutshi has a paper on GTA prep and support in engineering education that she needs some help getting across the finish line, and I offered to help support her in that pursuit. I'm also very interested in the same topic of GTA support in physics and plan to conduct a study related to that in the future, so there may be more room for collaboration down the road!","Loved getting to meet everyone of course, but also to get a view of the landscape of DBER in NY (I had no idea there were so many people in engineering education here in our state!)","I think there is a desire for some form of support network and community in New York State, and there would be participation. However, barriers exist around everyone's bandwidth and funding as far as planning and execution goes. Something like this might be more feasible with state-level funding and support in the current political climate, and we can use our New York State connections and identity as leverage when making our pitch! As far as where to do that and who to talk to, I do not personally have any answers, that would be the first step.","The first working groups session being based on the poster session was a little tough as a presenter, mostly in that I did not get the chance to fully get the landscape of what research was brought to the conference. I also liked the idea of group formation based on position, field, level of experience and so on, but I think those could have been assigned (deliberately or randomly) to help mix up groups even more and ensure even group size (my second group was almost entirely grad students with one faculty member). ","Annual regional symposium,Shared repository of instruments, protocols, and resources,Shared graduate student training or mentoring program,Virtual seminar series (e.g., works-in-progress presentations),Writing retreats (in-person or virtual)",,I'm going to be reaching out to my new potential collaborator and get the ball rolling on some future projects and publications!
2026-06-23 10:06:14,2026-06-23 10:24:24,IP Address,*******,100,1089,True,2026-06-23 10:24:24,R_58zyrvtiJODjLnu,*******,*******,*******,*******,*******,*******,anonymous,EN,Good,Completely,Excellently,Valuable,Somewhat Valuable,Valuable,Very Valuable,Very Valuable,Valuable,Extremely Valuable,Somewhat likely,Somewhat likely,Neutral,Very Likely,Neutral,Neutral,,"Yes, loosely (interest expressed, but nothing concrete yet)","I had some good conversations with Charlotte Z about the interface of math and physics. We are hoping to start chatting regularly about theses topics 
","As a grad student, I thought the informal connections I made with people in difference disciplines and at different career stages was made really easy.","I think I had the most valuable conversations during the first working group. I think a local DBER community that we had at this conference is in a really unique position to make lasting and direct impacts on the NY educational system.
","The conference completely wiped my social battery by the end of the day on Thursday. I think all the discussion based work shops were phenomenal and are much more beneficial than filling a conference with contributed talks; however, including some more semi-structured breaks would be helpful. ","Slack workspace for updates and communication,Shared repository of instruments, protocols, and resources,Shared graduate student training or mentoring program,Virtual seminar series (e.g., works-in-progress presentations)",,I plan to directly contact researchers at other institutions to build meaningful collaborations.
2026-06-23 10:44:16,2026-06-23 10:54:12,IP Address,*******,100,595,True,2026-06-23 10:54:12,R_5dst8D9uBpHmnhu,*******,*******,*******,*******,*******,*******,anonymous,EN,Excellent,A lot,Excellently,Extremely Valuable,Valuable,Not Valuable,Valuable,Valuable,Valuable,Valuable,Very Likely,Somewhat unlikely,Very unlikely,Neutral,Very unlikely,Very unlikely,,"Yes, a specific plan (next step, timeline, people identified)",Met someone who is going to teach a lesson plan I am devleoping and will employ asseesment of learning ,Networking,Seems like everyone is in the financial pit. ,"Honestly, it was a really great experience. I think it was a great balance of activities.. Would have liked more time for informal conversations.","Slack workspace for updates and communication,Annual regional symposium,Network newsletter or blog for sharing works-in-progress,Virtual seminar series (e.g., works-in-progress presentations)",,I am willing to brainstorm ideas about maintaining longevity in an organization like this. 
2026-06-24 07:10:13,2026-06-24 07:48:55,IP Address,*******,100,2322,True,2026-06-24 07:48:55,R_6c1a3bTlU1n2Tzl,*******,*******,*******,*******,*******,*******,anonymous,EN,Excellent,Completely,Excellently,Extremely Valuable,Extremely Valuable,Extremely Valuable,Very Valuable,Valuable,Very Valuable,Very Valuable,Very Likely,Very Likely,Somewhat unlikely,Very Likely,Somewhat likely,Very Likely,Get involved with future interDBER community building,"Yes, loosely (interest expressed, but nothing concrete yet)","Followed up with someone about the Graduate Career Consortium and their involvement to potentially join that network and learn about what works in a solid community of practice. They also offer professional development opportunities I'm interested in. One PhD candidate from Cornell expressed interest in collaborating on research, so I just reached out. Not sure what will come of it, but would love to engage students across institutions in building up SPIRAL!","Discussing commonalities and differences across our institutions, discussing systems level changes needed, and identifying concrete ways the interDBER community could support them. My favorite part was the emphasis on actionable next steps. ",Learning about methods (statistical and research) I hadn't been exposed to before. Understanding the different approaches and perspectives people take regarding AI in education - what folks are worried about and excited about. Learning how research groups / collaborations play out in academia and how the job of a professor is a LOT different from a job in industry. How we might make collaboration more deliberate and effective by drawing lessons from each.,"1 simple, concrete action item following the conference. It's so easy to say ""I have to follow up with XYZ!"" and struggling to find the time afterwards.","Cross-institutional reading or writing group (monthly, virtual),Shared graduate student training or mentoring program,Writing retreats (in-person or virtual),Job and opportunity sharing (postings, dissertation defenses, etc.)",,Attending the writers studio this Friday!
2026-06-26 07:39:24,2026-06-26 07:42:04,IP Address,*******,100,160,True,2026-06-26 07:42:05,R_1QFyHyMrNGp4NAe,*******,*******,*******,*******,*******,*******,anonymous,EN,Good,A lot,Excellently,Valuable,Very Valuable,Very Valuable,Valuable,Valuable,Valuable,Extremely Valuable,Somewhat likely,Neutral,Neutral,Very Likely,Somewhat unlikely,Neutral,"Required, but nothing to say","Yes, loosely (interest expressed, but nothing concrete yet)",Writing retreat. Possible future use of AI tool in course.,Networking.,Dinner was particularly memorable for less formal interactions.,Less structured time.,"Slack workspace for updates and communication,Annual regional symposium,Shared graduate student training or mentoring program,Writing retreats (in-person or virtual)",,I will show up if things are organized. I cannot committ to organizing myself.
2026-06-27 11:35:17,2026-06-27 11:49:50,IP Address,*******,100,872,True,2026-06-27 11:49:50,R_7isaTvI0dC9fjiW,*******,*******,*******,*******,*******,*******,anonymous,EN,Excellent,A lot,Well,Extremely Valuable,Extremely Valuable,Extremely Valuable,Extremely Valuable,Extremely Valuable,Extremely Valuable,Extremely Valuable,Somewhat likely,Neutral,Somewhat likely,Very Likely,Neutral,,,"Yes, loosely (interest expressed, but nothing concrete yet)",I met some grad students and postdocs who are interested in research graduate student teaching development. So we have discussed collaborating on some smaller projects that may eventually turn into long-term collaborations (hopefully!),Learning about regional DBER programs and networking,Mingling across different institutions and DBER fields helped me find people with shared interests across contexts.,The conference was very well organized and managed. The prompts in the working documents helped me keep my group on task (and not get distracted with unproductive speeches) every time I was a notetaker. A trivial issue was maybe the physical space and format for the jigsaws. A space that can help small groups discuss more closely without being drowned out by the sounds of the next table. This is a common and hard to address issue at any conference though. ,"Slack workspace for updates and communication,Annual regional symposium,Shared repository of instruments, protocols, and resources,Cross-institutional reading or writing group (monthly, virtual),Network newsletter or blog for sharing works-in-progress,Shared graduate student training or mentoring program,Virtual seminar series (e.g., works-in-progress presentations),Writing retreats (in-person or virtual),Listserv / email list,Job and opportunity sharing (postings, dissertation defenses, etc.)",,Follow up with all participants I identified as potential collaborators and make an active attempt to begin some inter-DBER work
2026-06-20 16:53:42,2026-06-20 16:54:45,IP Address,*******,7,62,False,2026-06-27 16:54:47,R_3hJYNSHtFrSOErT,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-22 10:46:51,2026-06-22 12:46:33,IP Address,*******,7,7181,False,2026-06-29 12:46:37,R_6dFJJrhTUV4u0qL,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,
